attribute,group,n,prevalence,mean_predicted_risk,recall,precision,specificity,brier
race,AfricanAmerican,618,0.11650485436893204,0.11268009550993459,0.6944444444444444,0.17543859649122806,0.5695970695970696,0.09775215348217642
race,Caucasian,2195,0.10842824601366742,0.10673147990767295,0.6512605042016807,0.15656565656565657,0.573326520183955,0.09334282193695441
race,Hispanic,69,0.13043478260869565,0.09865122536515343,0.6666666666666666,0.3,0.7666666666666667,0.10633558951182677
race,Missing,73,0.0821917808219178,0.09661504761482115,0.16666666666666666,0.038461538461538464,0.6268656716417911,0.0782014524694749
gender,Female,1639,0.11409395973154363,0.10669292056710937,0.6470588235294118,0.1644021739130435,0.5764462809917356,0.09763330339342635
gender,Male,1367,0.10460863204096561,0.10817150203701877,0.6643356643356644,0.15676567656765678,0.5825163398692811,0.08977332428507848
age,[30-40),97,0.1134020618556701,0.09637416323824732,0.6363636363636364,0.2413793103448276,0.7441860465116279,0.08768856416463862
age,[40-50),271,0.08118081180811808,0.08638675396480633,0.45454545454545453,0.14925373134328357,0.7710843373493976,0.07390466811464186
age,[50-60),535,0.08598130841121496,0.10720003029187729,0.6956521739130435,0.16080402010050251,0.6584867075664622,0.07340353698034748
age,[60-70),662,0.13897280966767372,0.10683962627629666,0.6847826086956522,0.22419928825622776,0.6175438596491228,0.11550338612045084
age,[70-80),788,0.09263959390862944,0.10807411328273564,0.6164383561643836,0.11873350923482849,0.5328671328671328,0.08337284154982441
age,[80-90),520,0.14423076923076922,0.12072712515636162,0.68,0.15987460815047022,0.39775280898876403,0.12048365708808584
age,[90-100),77,0.09090909090909091,0.11957275214429455,0.8571428571428571,0.11320754716981132,0.32857142857142857,0.08322241357652754
