threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.005,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.01,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.015,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.02,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.025,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.03,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.035,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.04,0.6534421644824558,0.2124846387926167,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10283803935166289,0.35352388066469487,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.045,0.6534421644824558,0.2124846387926167,1.0,0.12129202373104812,0.21634332745443857,0.0029917726252804786,0.10283803935166289,0.35352388066469487,4,1333,0,184,0.997370151216305,1333.0,0.8763971071663379
0.05,0.6534421644824558,0.2124846387926167,1.0,0.12242182302062542,0.21813870776526378,0.013462976813762155,0.10283803935166289,0.35352388066469487,18,1319,0,184,0.9881656804733728,1319.0,0.8671926364234056
0.055,0.6534421644824558,0.2124846387926167,0.9945652173913043,0.1227364185110664,0.21850746268656718,0.02169035153328347,0.10283803935166289,0.35352388066469487,29,1308,1,183,0.980276134122288,1313.0,0.8632478632478633
0.06,0.6534421644824558,0.2124846387926167,0.9891304347826086,0.125,0.22195121951219512,0.04712041884816754,0.10283803935166289,0.35352388066469487,63,1274,2,182,0.9572649572649573,1284.0,0.8441814595660749
0.065,0.6534421644824558,0.2124846387926167,0.9456521739130435,0.125,0.22081218274111675,0.08900523560209424,0.10283803935166289,0.35352388066469487,119,1218,10,174,0.9151873767258383,1268.0,0.8336620644312952
0.07,0.6534421644824558,0.2124846387926167,0.9239130434782609,0.13016845329249618,0.22818791946308725,0.15033657442034407,0.10283803935166289,0.35352388066469487,201,1136,14,170,0.8586456278763971,1206.0,0.7928994082840237
0.075,0.6534421644824558,0.2124846387926167,0.8967391304347826,0.13761467889908258,0.2386117136659436,0.22662677636499626,0.10283803935166289,0.35352388066469487,303,1034,19,165,0.7882971729125575,1129.0,0.7422748191978962
0.08,0.6534421644824558,0.2124846387926167,0.8478260869565217,0.14417744916820702,0.24644549763033174,0.30740463724756917,0.10283803935166289,0.35352388066469487,411,926,28,156,0.7113740959894806,1066.0,0.7008547008547008
0.085,0.6534421644824558,0.2124846387926167,0.7663043478260869,0.1441717791411043,0.24268502581755594,0.3739715781600598,0.10283803935166289,0.35352388066469487,500,837,43,141,0.6429980276134122,1052.0,0.6916502301117686
0.09,0.6534421644824558,0.2124846387926167,0.7282608695652174,0.15331807780320367,0.2533081285444234,0.4465220643231114,0.10283803935166289,0.35352388066469487,597,740,50,134,0.5746219592373438,990.0,0.650887573964497
