threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.005,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.01,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.015,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.02,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.025,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.03,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.035,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.04,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.045,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.05,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.055,0.6536189880003902,0.20416696863856337,1.0,0.12097304404996713,0.21583577712609972,0.0,0.10351005043200734,0.3558987040398563,0,1337,0,184,1.0,1337.0,0.8790269559500329
0.06,0.6536189880003902,0.20416696863856337,1.0,0.12105263157894737,0.215962441314554,0.0007479431563201197,0.10351005043200734,0.3558987040398563,1,1336,0,184,0.9993425378040762,1336.0,0.8783694937541091
0.065,0.6536189880003902,0.20416696863856337,1.0,0.12137203166226913,0.2164705882352941,0.0037397157816005983,0.10351005043200734,0.3558987040398563,5,1332,0,184,0.9967126890203813,1332.0,0.8757396449704142
0.07,0.6536189880003902,0.20416696863856337,1.0,0.12348993288590604,0.21983273596176822,0.02318623784592371,0.10351005043200734,0.3558987040398563,31,1306,0,184,0.9796186719263642,1306.0,0.8586456278763971
0.075,0.6536189880003902,0.20416696863856337,0.9945652173913043,0.12690707350901526,0.22509225092250923,0.05833956619296934,0.10351005043200734,0.3558987040398563,78,1259,1,183,0.948060486522025,1264.0,0.8310322156476002
0.08,0.6536189880003902,0.20416696863856337,0.9619565217391305,0.13111111111111112,0.23076923076923078,0.12266267763649963,0.10351005043200734,0.3558987040398563,164,1173,7,177,0.8875739644970414,1208.0,0.7942143326758712
0.085,0.6536189880003902,0.20416696863856337,0.9021739130434783,0.144473455178416,0.2490622655663916,0.2647718773373224,0.10351005043200734,0.3558987040398563,354,983,18,166,0.7554240631163708,1073.0,0.705456936226167
0.09,0.6536189880003902,0.20416696863856337,0.7663043478260869,0.15128755364806867,0.25268817204301075,0.4083769633507853,0.10351005043200734,0.3558987040398563,546,791,43,141,0.6127547666009204,1006.0,0.6614069690992768
0.095,0.6536189880003902,0.20416696863856337,0.6739130434782609,0.16599732262382866,0.2663802363050483,0.5340314136125655,0.10351005043200734,0.3558987040398563,714,623,60,124,0.4911242603550296,923.0,0.6068376068376068
